,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
309,1e-12,risky_1.0,1,1.1556852178810062,0.0,601.4677571579505
310,1e-12,simple,2,1.1650046795822964,0.0,599.2316116983266
311,1e-12,robust,2,1.1650046795822964,0.0,599.23429505828
312,1e-12,risky_0.1,2,1.1565653520495212,0.0,602.4864229832499
313,1e-12,risky_0.0,2,1.160581125799582,0.0,598.3566833672686
314,1e-12,risky_1.0,2,1.1556852178810062,0.0,601.46782142038
315,1e-12,simple,3,1.1650046795822964,0.0,599.231614071514
316,1e-12,robust,3,1.1650046795822964,0.0,599.2342974402311
317,1e-12,risky_0.1,3,1.1565653520495212,0.0,602.4864049910184
318,1e-12,risky_0.0,3,1.160581125799582,0.0,598.3566834621843
319,1e-12,risky_1.0,3,1.1556852178810062,0.0,601.4677426994316
320,1e-12,simple,4,1.1650046795822964,0.0,599.231646714429
321,1e-12,robust,4,1.1650046795822964,0.0,599.2343300988351
322,1e-12,risky_0.1,4,1.1565653520495212,0.0,602.4864547716994
323,1e-12,risky_0.0,4,1.160581125799582,0.0,598.3567189904415
324,1e-12,risky_1.0,4,1.1556852178810062,0.0,601.4678313451548
325,1e-12,simple,5,1.1650046795822964,0.0,599.2316001958685
326,1e-12,robust,5,1.1650046795822964,0.0,599.234283548336
327,1e-12,risky_0.1,5,1.1565653520495212,0.0,602.4863865912749
328,1e-12,risky_0.0,5,1.160581125799582,0.0,598.356655597802
329,1e-12,risky_1.0,5,1.1556852178810062,0.0,601.4678136622321
330,1e-12,simple,6,1.1650046795822964,0.0,599.2316396071325
331,1e-12,robust,6,1.1650046795822964,0.0,599.2343229839258
332,1e-12,risky_0.1,6,1.1565653520495212,0.0,602.4864692440556
333,1e-12,risky_0.0,6,1.160581125799582,0.0,598.3567154724377
334,1e-12,risky_1.0,6,1.1556852178810062,0.0,601.4678358671465
335,1e-12,simple,7,1.1650046795822964,0.0,599.2316199408489
336,1e-12,robust,7,1.1650046795822964,0.0,599.2343033094595
337,1e-12,risky_0.1,7,1.1565653520495212,0.0,602.4864428447302
338,1e-12,risky_0.0,7,1.160581125799582,0.0,598.3566917399171
339,1e-12,risky_1.0,7,1.1556852178810062,0.0,601.467745526657
340,1e-12,simple,8,1.1650046795822964,0.0,599.2316040478776
341,1e-12,robust,8,1.1650046795822964,0.0,599.2342874013447
342,1e-12,risky_0.1,8,1.1565653520495212,0.0,602.4864146749366
343,1e-12,risky_0.0,8,1.160581125799582,0.0,598.3566750004934
344,1e-12,risky_1.0,8,1.1556852178810062,0.0,601.4677742629303
345,1e-12,simple,9,1.1650046795822964,0.0,599.2316207562985
346,1e-12,robust,9,1.1650046795822964,0.0,599.2343041319543
347,1e-12,risky_0.1,9,1.1565653520495212,0.0,602.4863981036007
348,1e-12,risky_0.0,9,1.160581125799582,0.0,598.356685631481
349,1e-12,risky_1.0,9,1.1556852178810062,0.0,601.4677464004542
